timestep,timestamp,baseline_temp,ai_temp,baseline_pmv,ai_pmv,baseline_kw,ai_kw
183,Day-Step 183,22.000000000000004,20.000000000001325,-0.8503420890288519,-1.2076798218996156,4.6696900633932374,3.631506643756273
184,Day-Step 184,22.000000000000004,20.000000000000103,-0.8503420890977378,-1.2094998330598914,4.669690064166341,3.638359168478641
185,Day-Step 185,22.0,20.000000000000007,-0.8503420891653428,-1.2110616194190857,4.669690064924432,3.6442001743893906
186,Day-Step 186,22.0,20.0,-0.8503420892315718,-1.212404938970759,4.669690065667836,3.64908129077173
187,Day-Step 187,22.000000000000004,20.0,-0.8503420892964944,-1.213561202836778,4.669690066396804,3.653167613017844
188,Day-Step 188,22.0,19.999999999999996,-0.8503420893601906,-1.214557379610453,4.669690067111629,3.656590546137495
189,Day-Step 189,22.000000000000004,20.0,-0.8503420894226577,-1.2153776518506259,4.669690067812601,3.6591232599574925
190,Day-Step 190,22.000000000000004,20.0,-0.8503420894838937,-1.2161204296442727,4.669690068499956,3.6614382367174185
191,Day-Step 191,22.000000000000004,20.000000000000004,-0.8503420895440227,-1.2167644547556302,4.669690069173992,3.663502836782211
192,Day-Step 192,22.000000000000004,19.999999999999996,-0.8503420896028514,-1.217321867254408,4.669690069834936,3.6652504111944446
